X,Y,OBJECTID,AddNum_Pre,Add_Number,AddNum_Suf,AddNo_Full,St_PreMod,St_PreDir,St_PreTyp,St_PreSep,St_Name,St_PosTyp,St_PosDir,St_PosMod,StNam_Full,Building,Floor,Unit,Room,Seat,Addtl_Loc,SubAddress,LandmkName,County,Inc_Muni,Post_City,Census_Plc,Uninc_Comm,Nbrhd_Comm,NatAmArea,NatAmSub,Urbnztn_PR,PlaceOther,PlaceNmTyp,State,Zip_Code,Plus_4,UUID,AddAuth,AddrRefSys,Longitude,Latitude,NatGrid,Elevation,Placement,AddrPoint,Related_ID,RelateType,ParcelSrc,Parcel_ID,AddrClass,Lifecycle,Effective,Expire,DateUpdate,AnomStatus,LocatnDesc,Addr_Type,DeliverTyp,NAD_Source,DataSet_ID
-9625414.8495,4276244.449,1710600,,2036,,,,,,,SECRETARIAT,TRCE,,,SECRETARIAT TRCE,,,,,,,,,RUTHERFORD,Murfreesboro,MURFREESBORO,,,,,,,,,TN,37128,,,MURFREESBORO PLANNING,,-86.46657275,35.82264128,,,,,,,,,,,1899/12/30 00:00:00+00,,2020/08/11 08:06:42+00,,,,,TN STS GIS Services,RUTHERFORD_228330
-9625768.1591,4279652.3029,1858614,,4019,,,,,,,LUKE,CT,,,LUKE CT,,,A,,,,,,RUTHERFORD,Murfreesboro,MURFREESBORO,,,,,,,,,TN,37128,,,MURFREESBORO PLANNING,,-86.46974659,35.84745964,,,,,,,,,,,1899/12/30 00:00:00+00,,2024/02/23 13:57:08+00,,,,,TN STS GIS Services,RUTHERFORD_852629
